"title","artiste_name","video","audio","views","likes","comments","like_pct","comment_pct","engagement_rate","promotion_priority"
"Eye Red (Audio Slide)","Shatta Wale","",1,79853,3849,451,"4.82","0.56","5.38","Not a priority"
"Shw3 (Audio Slide)","Shatta Wale","",1,188280,7829,1472,"4.16","0.78","4.94","Not a priority"
"Bombers (Audio Slide) [Prod By Moneybeats]","Shatta Wale","",1,95820,4379,773,"4.57","0.81","5.38","Not a priority"
"Who Miss Me? (Audio Slide)","Shatta Wale","",1,326310,8772,1348,"2.69","0.41","3.10","Not a priority"
"Badda General, Zj Liquid, Stylo G, Shatta Wale & Gold Up - Barrel Remix (Official Video)","Shatta Wale",1,"",184446,7927,777,"4.30","0.42","4.72","Not a priority"
"More Loving (Official Video)","Shatta Wale",1,"",957817,19746,2060,"2.06","0.22","2.28","Not a priority"
"Favor Of God (Official Audio)","Shatta Wale","",1,120941,4616,516,"3.82","0.43","4.24","Not a priority"
"Shatta Wale, Skillibeng & Gold Up – Blow Up (Official Lyric Video)","Shatta Wale",1,"",479484,19194,2452,"4.00","0.51","4.51","Not a priority"
"Your Life (Official Video)","Shatta Wale",1,"",338016,11555,1271,"3.42","0.38","3.79","Not a priority"
"Violence (Audio Slide) Ghana Way ???? ??????????","Shatta Wale","",1,118844,5688,910,"4.79","0.77","5.55","Not a priority"
"Don’T Call Mom (Audio Slide)","Shatta Wale","",1,152226,7373,977,"4.84","0.64","5.49","Not a priority"
"Full Up (Viral Video)","Shatta Wale",1,"",238478,9620,803,"4.03","0.34","4.37","Not a priority"
"Kill Fi Fun (Audio Slide)","Shatta Wale","",1,189312,7711,1384,"4.07","0.73","4.80","Not a priority"
"Lift (Viral Video)","Shatta Wale",1,"",766151,18001,1418,"2.35","0.19","2.53","Not a priority"
"Benzo (Audio Slide)","Shatta Wale","",1,174522,6168,495,"3.53","0.28","3.82","Not a priority"
"Mad Ting Ft. Captan (Official Video)","Shatta Wale",1,"",626861,18304,1607,"2.92","0.26","3.18","Not a priority"
"@Shattawalegh - Azaa Ft. @Ypeebaakop3 (Official Video)","Shatta Wale",1,"",348958,13884,1267,"3.98","0.36","4.34","Not a priority"
"Different Star (Studio Session Video)","Shatta Wale",1,"",552776,13979,1069,"2.53","0.19","2.72","Not a priority"
"1 Don (Official Video)","Shatta Wale",1,"",2637385,46500,5269,"1.76","0.20","1.96","Not a priority"
"Hajia Bintu Ft. Ara B & Captan (Official Video)","Shatta Wale",1,"",4579296,68882,5334,"1.50","0.12","1.62","Not a priority"
"Ahodwo Las Vegas Ft. Kofi Jamar, K. Flick, Phrimpong, Phaize, K. Paluta, Amerado, Ypee","Shatta Wale",1,"",2243155,41222,4038,"1.84","0.18","2.02","Not a priority"
"Choppings (Viral)","Shatta Wale",1,"",538610,10978,1187,"2.04","0.22","2.26","Not a priority"
"Power (Audio Slide)","Shatta Wale","",1,67756,3190,365,"4.71","0.54","5.25","Not a priority"
"Brain Wire (Freestyle)","Shatta Wale","",1,49558,3407,401,"6.87","0.81","7.68","Not a priority"
"Success Tomorrow (Audio Slide )","Shatta Wale","",1,131945,5046,686,"3.82","0.52","4.34","Not a priority"
"Fuck Sars (Audio Slide)","Shatta Wale","",1,49661,3693,578,"7.44","1.16","8.60","Not a priority"
"Shuru (Audio Slide)","Shatta Wale","",1,135718,5434,702,"4.00","0.52","4.52","Not a priority"
"Bad Man Starring Efia Odo (Official Video)","Shatta Wale",1,"",654310,24288,2000,"3.71","0.31","4.02","Not a priority"
"Instinct Road (Viral Video )","Shatta Wale",1,"",49537,3401,292,"6.87","0.59","7.46","Not a priority"
"I Am Made In Ghana (Audio Slide)","Shatta Wale","",1,130537,6507,880,"4.98","0.67","5.66","Not a priority"
"Kill And Gone (Audio Slide)","Shatta Wale","",1,145921,6978,1213,"4.78","0.83","5.61","Not a priority"
"Who Tell You? (Audio Slide)","Shatta Wale","",1,179649,7521,1048,"4.19","0.58","4.77","Not a priority"
"Differen Star?? (Audio Slide)","Shatta Wale","",1,123663,5516,754,"4.46","0.61","5.07","Not a priority"
"So Long (Audio Slide)","Shatta Wale","",1,96440,4751,534,"4.93","0.55","5.48","Not a priority"
"Miss Money Ft. Medikal (Audio Slide)","Shatta Wale","",1,287929,9017,931,"3.13","0.32","3.46","Not a priority"
"Where I Come From (Audio Slide)","Shatta Wale","",1,109005,5304,563,"4.87","0.52","5.38","Not a priority"
"Dweet Dirty (Audio Slide)","Shatta Wale","",1,71229,3178,380,"4.46","0.53","5.00","Not a priority"
"Your Life (Audio Slide)","Shatta Wale","",1,69113,4201,0,"6.08","0.00","6.08","Not a priority"
"Greatest (Official Video)","Shatta Wale",1,"",236365,9914,908,"4.19","0.38","4.58","Not a priority"
"Sleepless Night (Official Video)","Shatta Wale",1,"",882075,20161,2507,"2.29","0.28","2.57","Not a priority"
"Infinity [Michy Birthday] (Audio Slide)","Shatta Wale","",1,169515,7323,859,"4.32","0.51","4.83","Not a priority"
"Sleepless Night (Audio Slide)","Shatta Wale","",1,102973,4711,918,"4.57","0.89","5.47","Not a priority"
"Ama Rita (Audio Slide)","Shatta Wale","",1,76920,3808,478,"4.95","0.62","5.57","Not a priority"
"Sweet Palava (Audio Slide)","Shatta Wale","",1,82341,3771,608,"4.58","0.74","5.32","Not a priority"
"Fapimso (Audio Slide)","Shatta Wale","",1,158880,6515,809,"4.10","0.51","4.61","Not a priority"
"Street Nigga (Audio Slide)","Shatta Wale","",1,101100,3987,338,"3.94","0.33","4.28","Not a priority"
"Stand Tuff (Audio Slide)","Shatta Wale","",1,92463,3904,345,"4.22","0.37","4.60","Not a priority"
"One Day (Audio Slide)","Shatta Wale","",1,114998,3860,325,"3.36","0.28","3.64","Not a priority"
"Big Toys (Audio Slide)","Shatta Wale","",1,49387,2589,253,"5.24","0.51","5.75","Not a priority"
"Fan Fool (Audio Slide)","Shatta Wale","",1,83916,3073,256,"3.66","0.31","3.97","Not a priority"
"Stars And Space (Animation Video)","Shatta Wale",1,"",97748,4088,324,"4.18","0.33","4.51","Not a priority"
"April Fool (Audio Slide)","Shatta Wale","",1,31824,2470,266,"7.76","0.84","8.60","Not a priority"
"Destiny (Official Audio)","Shatta Wale","",1,144727,4458,424,"3.08","0.29","3.37","Not a priority"
"Scumbag (Audio Slide)","Shatta Wale","",1,90562,3750,479,"4.14","0.53","4.67","Not a priority"
"Stars And Space (Audio Slide)","Shatta Wale","",1,80176,3508,570,"4.38","0.71","5.09","Not a priority"
"Shatta Wale & Militants - Chacha (Official Video)","Shatta Wale",1,"",506904,11910,1041,"2.35","0.21","2.55","Not a priority"
"Little Tip [Sarkodie Diss] (Audio Slide)","Shatta Wale","",1,286132,6706,1869,"2.34","0.65","3.00","Not a priority"
"Zion (Audio Slide)","Shatta Wale","",1,92575,4048,445,"4.37","0.48","4.85","Not a priority"
"Cough Cough (Teaser)","Shatta Wale","",1,23560,1350,51,"5.73","0.22","5.95","Not a priority"
"Horny [Animation Video]","Shatta Wale",1,"",285211,8191,577,"2.87","0.20","3.07","Not a priority"
"Horny (Audio Slide)","Shatta Wale","",1,68625,3045,338,"4.44","0.49","4.93","Not a priority"
"Chacha Ft. Addi Self, Captan & Natty Lee [Sm Militants] (Audio Slide)","Shatta Wale","",1,61770,2518,181,"4.08","0.29","4.37","Not a priority"
"Save Her Heart (Audio Slide)","Shatta Wale","",1,19162,1054,119,"5.50","0.62","6.12","Not a priority"
"The Ban (Pantang) [Audio Slide]","Shatta Wale","",1,103210,4609,452,"4.47","0.44","4.90","Not a priority"
"Stay Kool (Audio Slide)","Shatta Wale","",1,105025,3830,360,"3.65","0.34","3.99","Not a priority"
"Top Speed (Official Video)","Shatta Wale",1,"",450234,14087,1391,"3.13","0.31","3.44","Not a priority"
"Akwele Take (Official Video)","Shatta Wale",1,"",982150,18345,1685,"1.87","0.17","2.04","Not a priority"
"Bronya (Audio Slide)","Shatta Wale","",1,71476,3389,302,"4.74","0.42","5.16","Not a priority"
"Time No Dey (Official Video)","Shatta Wale",1,"",1216196,21302,1547,"1.75","0.13","1.88","Not a priority"
"Dem Turn To Beans (Audio Slide)","Shatta Wale","",1,100687,3508,364,"3.48","0.36","3.85","Not a priority"
"Sm Assasin (Audio Slide)","Shatta Wale","",1,49261,2258,213,"4.58","0.43","5.02","Not a priority"
"No Look (Audio Slide)","Shatta Wale","",1,56205,2689,307,"4.78","0.55","5.33","Not a priority"
"I Hate Nonsense (Audio Slide)","Shatta Wale","",1,62602,2313,310,"3.69","0.50","4.19","Not a priority"
"Borjor (Official Video)","Shatta Wale",1,"",3008167,29227,2227,"0.97","0.07","1.05","Not a priority"
"The Prophecy (Official Video)","Shatta Wale",1,"",2654394,28967,1884,"1.09","0.07","1.16","Not a priority"
"Addi Self X Captan X Natty Lee - Boss Wife (Audio Slide)","Shatta Wale","",1,47121,2044,187,"4.34","0.40","4.73","Not a priority"
"The Prophecy (Audio Slide)","Shatta Wale","",1,102306,3376,420,"3.30","0.41","3.71","Not a priority"
"Joint 77 - Front Page (Audio Slide)","Shatta Wale","",1,30693,1742,234,"5.68","0.76","6.44","Not a priority"
"Addi Self - Trust Your Love (Lyrics Video)","Shatta Wale",1,"",17171,794,68,"4.62","0.40","5.02","Not a priority"
"Captan - Overdose (Audio Slide)","Shatta Wale","",1,39695,2611,294,"6.58","0.74","7.32","Not a priority"
"Addi Self - Trust Your Love (Audio Slide)","Shatta Wale","",1,37483,2048,239,"5.46","0.64","6.10","Not a priority"
"Natty Lee - Olympics (Official Video)","Shatta Wale",1,"",290749,6489,468,"2.23","0.16","2.39","Not a priority"
"Be Afraid (Lyrics Video)","Shatta Wale",1,"",481563,8487,989,"1.76","0.21","1.97","Not a priority"
"Melissa (Official Video)","Shatta Wale",1,"",7183475,49478,3355,"0.69","0.05","0.74","Not a priority"
"Burial & Memeorial Of Buffalo Souljah (Part 2 Diss) Audio Slide]","Shatta Wale","",1,52792,1761,211,"3.34","0.40","3.74","Not a priority"
"Fool Boy (Diss To Buffalo Souljah) [Audio Slide]","Shatta Wale","",1,153149,4158,687,"2.72","0.45","3.16","Not a priority"
"Anonymous Man (Audio Slide)","Shatta Wale","",1,53804,2044,253,"3.80","0.47","4.27","Not a priority"
"Melissa (Audio Slide)","Shatta Wale","",1,189662,3826,460,"2.02","0.24","2.26","Not a priority"
"What Deh Go On (Audio Slide)","Shatta Wale","",1,136055,3775,406,"2.77","0.30","3.07","Not a priority"
"2 Pah Pah (100, 000) [Audio Slide]","Shatta Wale","",1,88704,2501,196,"2.82","0.22","3.04","Not a priority"
"Tournament [Ghana Black Stars Remix] (Audio Slide)","Shatta Wale","",1,109778,3345,343,"3.05","0.31","3.36","Not a priority"
"Dem Possess (Audio Slide)","Shatta Wale","",1,119591,2922,321,"2.44","0.27","2.71","Not a priority"
"Kpokpomi (Audio Slide)","Shatta Wale","",1,208864,3823,412,"1.83","0.20","2.03","Not a priority"
"New Formula (Audio Slide)","Shatta Wale","",1,120579,2673,300,"2.22","0.25","2.47","Not a priority"
"Congratulate (Audio Slide)","Shatta Wale","",1,66458,2279,293,"3.43","0.44","3.87","Not a priority"
"God Is Alive (Official Video)","Shatta Wale",1,"",569604,11547,989,"2.03","0.17","2.20","Not a priority"
"Natty Lee - Olympics (Audio Slide)","Shatta Wale","",1,36312,1696,230,"4.67","0.63","5.30","Not a priority"
"Do Am For Me (Audio Slide)","Shatta Wale","",1,79838,2711,460,"3.40","0.58","3.97","Not a priority"
"God Is Alive (Audio Slide)","Shatta Wale","",1,256814,5229,1123,"2.04","0.44","2.47","Not a priority"
"Miami Heights","Shatta Wale",1,"",72159,2426,328,"3.36","0.45","3.82","Not a priority"
"Holy Man (Audio Slide)","Shatta Wale","",1,69203,2017,239,"2.91","0.35","3.26","Not a priority"
"Swizz Bank (Official Video)","Shatta Wale",1,"",311480,6553,665,"2.10","0.21","2.32","Not a priority"
"Swizz Bank","Shatta Wale",1,"",90501,3051,607,"3.37","0.67","4.04","Not a priority"
"Changer (Audio Slide)","Shatta Wale","",1,88891,2208,320,"2.48","0.36","2.84","Not a priority"
"Hausa Koko (Audio Slide)","Shatta Wale","",1,65669,1749,294,"2.66","0.45","3.11","Not a priority"
"Weekend Love (Lyric Video)","Shatta Wale",1,"",35869,1271,130,"3.54","0.36","3.91","Not a priority"
"Weekend Love","Shatta Wale",1,"",33053,1251,238,"3.78","0.72","4.50","Not a priority"
"Packaging Ft. Medikal (Audio Slide)","Shatta Wale","",1,119805,2806,340,"2.34","0.28","2.63","Not a priority"
"Addi Self - Future Picture (Official Video)","Shatta Wale",1,"",182456,4908,376,"2.69","0.21","2.90","Not a priority"
"Store Room (Official Video)","Shatta Wale",1,"",341143,7274,839,"2.13","0.25","2.38","Not a priority"
"Ay3 Halfcast (Audio Slide)","Shatta Wale","",1,617669,7522,580,"1.22","0.09","1.31","Not a priority"
"Captan - Two Sure (Official Audio)","Shatta Wale","",1,25544,1138,100,"4.46","0.39","4.85","Not a priority"
"When You Fail","Shatta Wale",1,"",45327,1429,153,"3.15","0.34","3.49","Not a priority"
"Campaign (Official Audio)","Shatta Wale","",1,34847,1256,220,"3.60","0.63","4.24","Not a priority"
"Nepa (Official Audio)","Shatta Wale","",1,39953,1364,187,"3.41","0.47","3.88","Not a priority"
"Joint 77 - Slay Queen (Audio Slide)","Shatta Wale","",1,24550,1029,115,"4.19","0.47","4.66","Not a priority"
"Kaakaa Motobi","Shatta Wale","",1,84136,2218,357,"2.64","0.42","3.06","Not a priority"
"Addi Self - Future Picture (Audio Slide)","Shatta Wale","",1,31938,1202,171,"3.76","0.54","4.30","Not a priority"
"Big God Ft. Natty Lee (Audio Slide)","Shatta Wale","",1,54204,1434,202,"2.65","0.37","3.02","Not a priority"
"Oko Niko Ft. Natty Lee (Audio Slide)","Shatta Wale","",1,119201,2324,216,"1.95","0.18","2.13","Not a priority"
"Juju","Shatta Wale","",1,207896,3509,487,"1.69","0.23","1.92","Not a priority"
"Deliver Me (Audio Slide)","Shatta Wale","",1,151342,3295,414,"2.18","0.27","2.45","Not a priority"
"Only One Man (Audio Slide)","Shatta Wale","",1,1299178,12220,706,"0.94","0.05","0.99","Not a priority"
"Round 3 (Audio Slide)","Shatta Wale","",1,39790,1234,149,"3.10","0.37","3.48","Not a priority"
"Crazy (Official Video)","Shatta Wale",1,"",709795,11933,989,"1.68","0.14","1.82","Not a priority"
"Signboard (Audio Slide)","Shatta Wale","",1,174699,3270,305,"1.87","0.17","2.05","Not a priority"
"Shatta Wale, 9Tyz - Shatta With 9 - (Lyrics Video)","Shatta Wale",1,"",28009,1400,187,"5.00","0.67","5.67","Not a priority"
"Like Jesus [Willie Roi Tribute] (Audio Slide)","Shatta Wale","",1,659070,7906,681,"1.20","0.10","1.30","Not a priority"
"Heavy Load [Conquer Paradise Riddim] (Audio Slide)","Shatta Wale","",1,339159,6319,803,"1.86","0.24","2.10","Not a priority"
"Island (Official Video)","Shatta Wale",1,"",1354210,21370,1930,"1.58","0.14","1.72","Not a priority"
"Life Be Time Ft. Tinny (Audio Slide)","Shatta Wale","",1,443003,5148,389,"1.16","0.09","1.25","Not a priority"
"Addi Self - Born Bad (Official Video)","Shatta Wale",1,"",73796,2724,352,"3.69","0.48","4.17","Not a priority"
"Road Trip To The Treasure Island","Shatta Wale",1,"",98736,3016,226,"3.05","0.23","3.28","Not a priority"
"Island (Official Lyrics Video)","Shatta Wale",1,"",290303,5574,753,"1.92","0.26","2.18","Not a priority"
"2019 (Audio Slide)","Shatta Wale","",1,154789,2680,314,"1.73","0.20","1.93","Not a priority"
"Paq - Kumchacha Ft. Shatta Wale (Audio Slide)","Shatta Wale","",1,51425,1332,172,"2.59","0.33","2.92","Not a priority"
"Sika Y3D3 (Audio Slide)","Shatta Wale","",1,44488,1197,132,"2.69","0.30","2.99","Not a priority"
"Aduro (Audio Slide)","Shatta Wale","",1,68243,1928,210,"2.83","0.31","3.13","Not a priority"
"Only Dem (Viral Video)","Shatta Wale",1,"",1005267,10919,975,"1.09","0.10","1.18","Not a priority"
"Teddy The Doll (Audio Slide)","Shatta Wale","",1,40397,1758,235,"4.35","0.58","4.93","Not a priority"
"Drama King (Audio Slide)","Shatta Wale","",1,55363,1631,211,"2.95","0.38","3.33","Not a priority"
"My Level (Official Video)","Shatta Wale",1,"",16849022,83337,4514,"0.49","0.03","0.52","Not a priority"
"Sm Cultural Anthem (Audio Slide)","Shatta Wale","",1,411205,6165,447,"1.50","0.11","1.61","Not a priority"
"Asylum Money (Viral Video)","Shatta Wale",1,"",295779,5980,803,"2.02","0.27","2.29","Not a priority"
"Paq X Anointing (Audio Slide)","Shatta Wale","",1,76260,1880,308,"2.47","0.40","2.87","Not a priority"
"Shatta Michy - Spend Di Money (Official Video)","Shatta Wale",1,"",260802,6457,551,"2.48","0.21","2.69","Not a priority"
"What Is Coming (Rihanna Love On The Brain Cover) [Viral Video]","Shatta Wale",1,"",125228,4320,500,"3.45","0.40","3.85","Not a priority"
"Paq X Y3Koom [Street Version] (Audio Slide)","Shatta Wale","",1,79666,1443,203,"1.81","0.25","2.07","Not a priority"
"Paq X Y3Koom [Radio Version] (Audio Slide)","Shatta Wale","",1,226919,2999,442,"1.32","0.19","1.52","Not a priority"
"Addi Self X Captan - Hater Bye (Audio Slide)","Shatta Wale","",1,27389,924,143,"3.37","0.52","3.90","Not a priority"
"Satanic (Animation Video)","Shatta Wale",1,"",276649,5509,986,"1.99","0.36","2.35","Not a priority"
"Mind Made Up (Official Video)","Shatta Wale",1,"",700959,11523,1179,"1.64","0.17","1.81","Not a priority"
"War Ft. Addi Self (Audio Slide)","Shatta Wale","",1,53617,1097,146,"2.05","0.27","2.32","Not a priority"
"Natty Lee - You Lied (Viral Video)","Shatta Wale",1,"",14011,610,70,"4.35","0.50","4.85","Not a priority"
"Natty Lee - You Lied (Audio Slide)","Shatta Wale","",1,13625,394,40,"2.89","0.29","3.19","Not a priority"
"Thunder Fire Ft. Sm Militants (Official Video)","Shatta Wale",1,"",6052750,34894,1806,"0.58","0.03","0.61","Not a priority"
"Alakpator (Audio Slide)","Shatta Wale","",1,56366,1124,132,"1.99","0.23","2.23","Not a priority"
"Shatta Michy - Spend Di Money (Audio Slide)","Shatta Wale","",1,26604,704,75,"2.65","0.28","2.93","Not a priority"
"My Level (Audio Slide)","Shatta Wale","",1,1341627,8251,1063,"0.61","0.08","0.69","Not a priority"
"Aye (Audio Slide)","Shatta Wale","",1,79687,1321,147,"1.66","0.18","1.84","Not a priority"
"Tomorrow Tomorrow (Audio Slide)","Shatta Wale","",1,202477,3415,307,"1.69","0.15","1.84","Not a priority"
"Freestyle Parade (Viral Video)","Shatta Wale",1,"",265977,5251,497,"1.97","0.19","2.16","Not a priority"
"Natty Lee - Sexy Police (Audio Slide)","Shatta Wale","",1,19590,448,50,"2.29","0.26","2.54","Not a priority"
"Deestar [Duke D2] - God Of Favor (Audio Slide)","Shatta Wale","",1,6508,218,24,"3.35","0.37","3.72","Not a priority"
"Testimony (Audio Slide)","Shatta Wale","",1,134343,1701,157,"1.27","0.12","1.38","Not a priority"
"Captan - By The Lead (Audio Slide)","Shatta Wale","",1,22867,834,132,"3.65","0.58","4.22","Not a priority"
"Man Like Me [Holocaust Riddim] (Audio Slide)","Shatta Wale","",1,34914,762,105,"2.18","0.30","2.48","Not a priority"
"Chocolate Love (Audio Slide)","Shatta Wale","",1,36357,837,74,"2.30","0.20","2.51","Not a priority"
"Cash Life (Audio Slide)","Shatta Wale","",1,34456,848,93,"2.46","0.27","2.73","Not a priority"
"Thunder Fire Ft. Sm Militants (Audio Slide)","Shatta Wale","",1,290514,3185,344,"1.10","0.12","1.21","Not a priority"
"Addi Self - Born Bard (Audio Slide)","Shatta Wale","",1,22451,740,108,"3.30","0.48","3.78","Not a priority"
"Gringo (Official Video)","Shatta Wale",1,"",2860487,39750,4246,"1.39","0.15","1.54","Not a priority"
"Gringo (Audio Slide)","Shatta Wale","",1,387928,4711,493,"1.21","0.13","1.34","Not a priority"
"Dukui (Audio Slide)","Shatta Wale","",1,61712,1061,209,"1.72","0.34","2.06","Not a priority"
"All Eyes On Me (Audio Slide)","Shatta Wale","",1,68280,1255,242,"1.84","0.35","2.19","Not a priority"
"419 (Audio Slide)","Shatta Wale","",1,47266,792,126,"1.68","0.27","1.94","Not a priority"
"Economy (Audio Slide)","Shatta Wale","",1,43664,851,98,"1.95","0.22","2.17","Not a priority"
"Money Matters Ft. Dammy Krane (Audio Slide)","Shatta Wale","",1,48616,919,143,"1.89","0.29","2.18","Not a priority"
"Performer (Audio Slide)","Shatta Wale","",1,110962,2011,247,"1.81","0.22","2.03","Not a priority"
"Addi Self - Diana (Audio Slide)","Shatta Wale","",1,17871,465,51,"2.60","0.29","2.89","Not a priority"
"Militantz - Matter Ft. Shatta Wale (Audio Slide)","Shatta Wale","",1,58073,983,182,"1.69","0.31","2.01","Not a priority"
"No Mercy For The Cripple [Stonebwoy Diss] (Audio Slide)","Shatta Wale","",1,296924,3610,866,"1.22","0.29","1.51","Not a priority"
"Shito (Audio Slide)","Shatta Wale","",1,150819,1696,245,"1.12","0.16","1.29","Not a priority"
"Shatta Wale – Storm (Audio Slide)","Shatta Wale","",1,99525,1452,145,"1.46","0.15","1.60","Not a priority"
"Shatta Wale – Ego Taya Dem (Audio Slide)","Shatta Wale","",1,51014,777,71,"1.52","0.14","1.66","Not a priority"
"Bullet Proof (Official Video)","Shatta Wale",1,"",13310265,49392,2563,"0.37","0.02","0.39","Not a priority"
"Duke D2 - Something Ft. Ahkan (Ruff N Smooth)","Shatta Wale","",1,10380,201,14,"1.94","0.13","2.07","Not a priority"
"Zylofon (Audio Slide)","Shatta Wale","",1,54267,734,119,"1.35","0.22","1.57","Not a priority"
"Shatta Michy - Cheating (Official Video)","Shatta Wale",1,"",577996,7243,554,"1.25","0.10","1.35","Not a priority"
"Shatta Wale – Pray (Audio Slide)","Shatta Wale","",1,106449,1681,132,"1.58","0.12","1.70","Not a priority"
"Addi Self - Today Too (Official Video)","Shatta Wale",1,"",234284,3774,212,"1.61","0.09","1.70","Not a priority"
"Captan - Don'T Complain (Official Video)","Shatta Wale",1,"",314603,6388,311,"2.03","0.10","2.13","Not a priority"
"Natty Lee - Roman Father Ft. Shatta Wale (Audio Slide)","Shatta Wale","",1,29308,631,47,"2.15","0.16","2.31","Not a priority"
"Joint 77 - Otophista (Official Video)","Shatta Wale",1,"",154234,2489,184,"1.61","0.12","1.73","Not a priority"
"Shatta Michy - Cheating (Audio Slide)","Shatta Wale","",1,136270,2321,252,"1.70","0.18","1.89","Not a priority"
"Nobody Go Talk (Official Video)","Shatta Wale",1,"",684039,7096,605,"1.04","0.09","1.13","Not a priority"
"Shatta Wale – Commander Bush (Audio Slide)","Shatta Wale","",1,46344,651,64,"1.40","0.14","1.54","Not a priority"
"Shatta Wale – Libya (Audio Slide)","Shatta Wale","",1,9855,208,20,"2.11","0.20","2.31","Not a priority"
"Shatta Wale – Dancehall Landlord (Audio Slide)","Shatta Wale","",1,9711,274,9,"2.82","0.09","2.91","Not a priority"
"Libya (Viral Video)","Shatta Wale",1,"",23512,818,129,"3.48","0.55","4.03","Not a priority"
"Inna Mi Corner (Popcaan Riddim) Ft. Addi Self, Captan & Rysto","Shatta Wale","",1,49302,1036,87,"2.10","0.18","2.28","Not a priority"
"Timaya (Audio Slide)","Shatta Wale","",1,80288,1252,297,"1.56","0.37","1.93","Not a priority"
"Shatta Wale – Satan Company (Audio Slide)","Shatta Wale","",1,233135,2552,205,"1.09","0.09","1.18","Not a priority"
"Oluwa Is My Boss (Audio Slide)","Shatta Wale","",1,156909,2057,342,"1.31","0.22","1.53","Not a priority"
"Patoranking (Audio Slide)","Shatta Wale","",1,63569,1113,271,"1.75","0.43","2.18","Not a priority"
"Dancehall Landlord [Diss To Patoranking & Timaya] (Audio Slide)","Shatta Wale","",1,56284,966,285,"1.72","0.51","2.22","Not a priority"
"Disaster (Audio Slide)","Shatta Wale","",1,90419,1257,177,"1.39","0.20","1.59","Not a priority"
"Oh Ghana (Audio Slide)","Shatta Wale","",1,60829,812,69,"1.33","0.11","1.45","Not a priority"
"Korle Bu (Audio Slide)","Shatta Wale","",1,17922,311,17,"1.74","0.09","1.83","Not a priority"
"Rado Rado (Audio Slide)","Shatta Wale","",1,23452,519,28,"2.21","0.12","2.33","Not a priority"
"Handle It (Audio Slide)","Shatta Wale","",1,14638,321,26,"2.19","0.18","2.37","Not a priority"
"Diamond (Audio Slide)","Shatta Wale","",1,8821,156,11,"1.77","0.12","1.89","Not a priority"
"Shame On You (Audio Slide)","Shatta Wale","",1,62855,895,47,"1.42","0.07","1.50","Not a priority"
"Star Bwoy (Audio Slide)","Shatta Wale","",1,47556,519,21,"1.09","0.04","1.14","Not a priority"
"Star Boy (Viral Video)","Shatta Wale",1,"",1936061,16458,894,"0.85","0.05","0.90","Not a priority"
"Nobody Go Talk (Audio Slide)","Shatta Wale","",1,21146,332,52,"1.57","0.25","1.82","Not a priority"
"Life Changer (Official Video)","Shatta Wale",1,"",846322,8933,603,"1.06","0.07","1.13","Not a priority"
"See Da Fool (Audio Slide)","Shatta Wale","",1,436921,3993,292,"0.91","0.07","0.98","Not a priority"
"Never Plan For This (Audio Slide)","Shatta Wale","",1,20904,315,32,"1.51","0.15","1.66","Not a priority"
"My Frenz' In (Audio Slide)","Shatta Wale","",1,14593,232,29,"1.59","0.20","1.79","Not a priority"
"Feel So Stupid (Audio Slide)","Shatta Wale","",1,12941,211,15,"1.63","0.12","1.75","Not a priority"
"Shit Is Lit (Audio Slide)","Shatta Wale","",1,20125,308,11,"1.53","0.05","1.59","Not a priority"
"Grow Bad (Audio Slide)","Shatta Wale","",1,33253,531,32,"1.60","0.10","1.69","Not a priority"
"Just Make Da Money (Audio Slide)","Shatta Wale","",1,69773,1034,98,"1.48","0.14","1.62","Not a priority"
"Feel So Stupid (Official Video)","Shatta Wale",1,"",181399,2534,184,"1.40","0.10","1.50","Not a priority"
"Birthday Skit (Audio Slide)","Shatta Wale","",1,13361,332,34,"2.48","0.25","2.74","Not a priority"
"Stop Landguard (Audio Slide)","Shatta Wale","",1,69892,876,54,"1.25","0.08","1.33","Not a priority"
"Freedom (Audio Slide)","Shatta Wale","",1,2001190,16626,570,"0.83","0.03","0.86","Not a priority"
"Captan - Don'T Complain (Audio Slide)","Shatta Wale","",1,29707,549,20,"1.85","0.07","1.92","Not a priority"
"Ashiaman (Audio Slide)","Shatta Wale","",1,8770,221,7,"2.52","0.08","2.60","Not a priority"
"Joint 77 - Otophista (Audio Slide)","Shatta Wale","",1,9522,178,10,"1.87","0.11","1.97","Not a priority"
"Mkportor Kportor [Mud] (Audio Slide)","Shatta Wale","",1,26839,378,29,"1.41","0.11","1.52","Not a priority"
"Affi Di Money [Training Wheel Riddim] (Audio Slide)","Shatta Wale","",1,17661,329,47,"1.86","0.27","2.13","Not a priority"
"If Its A Game (Audio Slide)","Shatta Wale","",1,19866,320,31,"1.61","0.16","1.77","Not a priority"
"Shatta Wale, Addi Self & Captan - Gangster Check Medley (Audio Slide)","Shatta Wale","",1,28503,549,45,"1.93","0.16","2.08","Not a priority"
"Shatta Wale X Mr Eazi - Haters (Audio Slide)","Shatta Wale","",1,12635,255,12,"2.02","0.09","2.11","Not a priority"
"Black Friday (Audio Slide)","Shatta Wale","",1,16279,335,19,"2.06","0.12","2.17","Not a priority"
"Shatta Wale – M3Gya Agbagba [I Try] (Audio Slide)","Shatta Wale","",1,76628,1069,60,"1.40","0.08","1.47","Not a priority"
"Addi Self - Today Too (Audio Slide)","Shatta Wale","",1,11146,227,12,"2.04","0.11","2.14","Not a priority"
"Duna (Audio Slide)","Shatta Wale","",1,281915,2533,213,"0.90","0.08","0.97","Not a priority"
